vertex id,originalDegree,color,orderColored
0,354,354,0
1,359,94,265
2,361,359,2
3,355,91,264
4,357,82,275
5,359,358,1
6,359,356,3
7,359,355,4
8,359,354,5
9,358,352,6
10,355,88,268
11,355,348,7
12,355,347,8
13,360,351,9
14,356,346,10
15,359,75,284
16,360,349,11
17,354,342,12
18,357,344,13
19,359,345,14
20,358,343,15
21,357,341,16
22,356,339,17
23,360,342,18
24,357,338,19
25,359,339,20
26,359,338,21
27,357,335,22
28,352,329,23
29,358,334,24
30,354,329,25
31,356,330,26
32,361,334,27
33,357,329,28
34,359,330,29
35,360,330,30
36,360,329,31
37,356,324,32
38,361,328,33
39,355,321,34
40,354,319,35
41,357,321,36
42,355,318,37
43,359,321,38
44,358,319,39
45,358,318,40
46,356,315,41
47,356,314,42
48,360,317,43
49,353,309,44
50,358,313,45
51,356,310,46
52,360,313,47
53,356,308,48
54,355,306,49
55,352,302,50
56,349,298,51
57,355,303,52
58,355,302,53
59,358,304,54
60,356,301,55
61,357,301,56
62,360,303,57
63,361,303,58
64,353,294,59
65,357,297,60
66,353,292,61
67,357,295,62
68,353,290,63
69,356,292,64
70,350,285,65
71,353,287,66
72,362,295,67
73,357,289,68
74,358,289,69
75,359,289,70
76,355,284,71
77,353,281,72
78,352,279,73
79,361,287,74
80,357,282,75
81,357,281,76
82,355,278,77
83,353,275,78
84,352,273,79
85,356,276,80
86,355,274,81
87,354,272,82
88,355,272,83
89,360,276,84
90,356,271,85
91,353,267,86
92,356,269,87
93,356,268,88
94,361,272,89
95,355,265,90
96,353,262,91
97,357,265,92
98,353,260,93
99,355,261,94
100,354,259,95
101,354,258,96
102,356,259,97
103,359,261,98
104,357,258,99
105,354,254,100
106,356,255,101
107,353,251,102
108,355,252,103
109,357,253,104
110,353,248,105
111,355,249,106
112,357,250,107
113,356,248,108
114,354,245,109
115,354,244,110
116,354,243,111
117,357,245,112
118,357,244,113
119,355,241,114
120,352,237,115
121,353,237,116
122,353,236,117
123,352,234,118
124,351,232,119
125,352,232,120
126,350,229,121
127,353,231,122
128,346,223,123
129,350,226,124
130,356,231,125
131,352,226,126
132,351,224,127
133,357,229,128
134,353,224,129
135,355,225,130
136,356,225,131
137,359,227,132
138,354,221,133
139,353,219,134
140,355,220,135
141,359,223,136
142,354,217,137
143,356,218,138
144,357,218,139
145,357,217,140
146,358,217,141
147,358,216,142
148,354,211,143
149,358,214,144
150,354,209,145
151,352,206,146
152,347,200,147
153,352,204,148
154,350,201,149
155,350,200,150
156,352,201,151
157,353,201,152
158,355,202,153
159,355,201,154
160,355,200,155
161,352,196,156
162,351,194,157
163,349,191,158
164,350,191,159
165,354,194,160
166,355,194,161
167,355,193,162
168,351,188,163
169,349,185,164
170,348,183,165
171,348,182,166
172,348,181,167
173,349,181,168
174,348,179,169
175,353,183,170
176,352,181,171
177,351,179,172
178,349,176,173
179,347,173,174
180,346,171,175
181,348,172,176
182,344,167,177
183,340,162,178
184,348,169,179
185,348,168,180
186,349,168,181
187,351,169,182
188,352,169,183
189,349,165,184
190,344,159,185
191,353,167,186
192,354,167,187
193,354,166,188
194,352,163,189
195,348,158,190
196,346,155,191
197,348,156,192
198,347,154,193
199,343,149,194
200,341,146,195
201,342,146,196
202,352,155,197
203,352,154,198
204,351,152,199
205,344,144,200
206,344,143,201
207,344,142,202
208,346,143,203
209,350,146,204
210,345,140,205
211,351,145,206
212,346,139,207
213,351,143,208
214,349,140,209
215,346,136,210
216,346,135,211
217,343,131,212
218,343,130,213
219,347,133,214
220,344,129,215
221,343,127,216
222,344,127,217
223,345,127,218
224,349,130,219
225,347,127,220
226,347,126,221
227,349,127,222
228,344,121,223
229,343,119,224
230,341,116,225
231,342,116,226
232,348,121,227
233,353,125,228
234,346,117,229
235,347,117,230
236,342,111,231
237,344,112,232
238,343,110,233
239,344,110,234
240,342,107,235
241,341,105,236
242,343,106,237
243,345,107,238
244,337,89,248
245,338,99,239
246,342,102,240
247,338,97,241
248,343,101,242
249,344,83,261
250,342,99,243
251,340,96,244
252,341,96,245
253,342,96,246
254,340,93,247
255,343,94,249
256,346,96,250
257,342,91,251
258,340,88,252
259,345,92,253
260,346,92,254
261,336,81,255
262,341,85,256
263,339,82,257
264,338,80,258
265,339,72,267
266,343,84,259
267,339,79,260
268,349,87,262
269,344,78,266
270,341,78,263
271,340,71,269
272,335,62,273
273,341,60,281
274,339,68,271
275,333,55,280
276,337,66,272
277,338,53,286
278,334,56,278
279,338,69,270
280,336,51,285
281,335,59,276
282,335,62,274
283,331,55,277
284,335,47,290
285,335,57,279
286,334,54,282
287,335,54,283
288,331,43,294
289,336,51,287
290,334,45,291
291,334,45,292
292,336,45,297
293,331,47,288
294,325,33,299
295,326,32,301
296,332,38,302
297,326,37,295
298,323,32,300
299,325,37,289
300,323,29,303
301,328,39,293
302,324,30,304
303,322,28,306
304,323,31,298
305,321,25,314
306,326,31,305
307,314,20,315
308,323,34,296
309,317,22,310
310,317,23,309
311,324,31,307
312,317,22,308
313,317,22,312
314,320,24,311
315,309,15,316
316,319,23,313
317,314,20,318
318,312,19,317
319,308,15,320
320,308,16,321
321,309,16,319
322,301,14,325
323,295,9,326
324,302,12,322
325,300,12,324
326,302,14,323
327,294,8,328
328,289,7,330
329,293,9,329
330,296,9,327
331,284,6,331
332,284,7,332
333,275,4,335
334,273,7,338
335,280,8,334
336,274,5,336
337,281,7,333
338,273,9,339
339,271,5,337
340,264,3,340
341,263,5,341
342,255,4,342
343,254,3,344
344,253,4,345
345,253,3,343
346,252,2,346
347,245,1,347
348,243,0,348
349,221,0,349
350,206,0,351
351,198,0,352
352,190,0,354
353,191,0,353
354,172,0,355
355,161,0,356
356,134,0,357
357,129,1,358
358,110,0,359
359,73,0,360
360,64,0,361
361,63,0,362
362,59,0,363
363,52,0,364
364,49,0,365
365,31,0,366
366,18,0,367
367,12,0,368
368,9,0,369
369,5,0,370
370,2,0,371
371,211,1,350

