V,E,NumColors,AvgDegree,GraphType,AlgoType,TerminalClique
4,3,3,1,ModifiedNormal,LargestLast,1
5,5,3,1,ModifiedNormal,LargestLast,1
6,7,4,1,ModifiedNormal,LargestLast,1
3,1,3,2,UniformDistributionR,uniformRandomOrdering
4,3,4,2,UniformDistributionR,uniformRandomOrdering
5,5,4,3,UniformDistributionR,uniformRandomOrdering
6,7,5,4,UniformDistributionR,uniformRandomOrdering
3,3,3,2,CompleteGraph,uniformRandomOrdering
4,6,4,3,CompleteGraph,uniformRandomOrdering
5,10,5,4,CompleteGraph,uniformRandomOrdering
6,15,6,5,CompleteGraph,uniformRandomOrdering
3,3,3,2,CyclicGraph,uniformRandomOrdering
4,4,3,2,CyclicGraph,uniformRandomOrdering
5,5,3,2,CyclicGraph,uniformRandomOrdering
6,6,3,2,CyclicGraph,uniformRandomOrdering
3,1,3,1,UniformDistributionSkew,uniformRandomOrdering
4,3,2,2,UniformDistributionSkew,uniformRandomOrdering
5,5,4,2,UniformDistributionSkew,uniformRandomOrdering
6,7,4,3,UniformDistributionSkew,uniformRandomOrdering
3,1,2,1,ModifiedNormal,uniformRandomOrdering
4,3,4,2,ModifiedNormal,uniformRandomOrdering
5,5,4,2,ModifiedNormal,uniformRandomOrdering
6,7,4,3,ModifiedNormal,uniformRandomOrdering
