vertex id,originalDegree,color,orderColored
0,186,1,0
1,186,25,24
2,185,3,2
3,177,2,1
4,177,4,3
5,191,5,4
6,188,6,5
7,176,7,6
8,168,56,128
9,182,30,32
10,189,8,7
11,183,9,8
12,187,10,9
13,187,11,10
14,189,36,44
15,194,24,23
16,188,12,11
17,178,13,12
18,177,7,27
19,178,40,53
20,179,39,52
21,180,14,13
22,184,15,14
23,176,23,22
24,175,2,29
25,183,16,15
26,183,17,16
27,181,18,17
28,196,27,26
29,189,19,18
30,174,10,31
31,183,22,21
32,182,28,28
33,182,20,19
34,189,29,30
35,182,6,37
36,177,26,25
37,187,31,33
38,180,21,20
39,185,32,35
40,181,31,40
41,184,21,34
42,189,28,43
43,187,33,38
44,183,43,65
45,190,35,41
46,183,34,39
47,180,18,36
48,176,2,60
49,182,26,42
50,182,4,59
51,186,33,47
52,186,48,82
53,181,42,58
54,174,41,56
55,178,9,54
56,212,37,57
57,188,52,91
58,185,37,45
59,181,23,46
60,183,29,49
61,188,44,66
62,199,51,90
63,181,19,67
64,186,32,50
65,185,38,48
66,181,14,61
67,182,35,55
68,184,40,78
69,184,39,83
70,187,34,51
71,185,47,81
72,189,16,62
73,183,3,76
74,183,45,73
75,175,12,69
76,186,38,68
77,189,8,77
78,180,46,74
79,181,15,64
80,191,30,71
81,177,24,87
82,174,14,111
83,183,54,94
84,190,5,63
85,183,41,100
86,176,50,85
87,169,55,127
88,179,42,75
89,174,17,72
90,173,55,99
91,182,49,84
92,185,53,93
93,171,9,102
94,171,1,79
95,169,11,70
96,180,36,89
97,177,22,88
98,174,53,103
99,170,17,112
100,174,52,95
101,171,32,114
102,181,49,86
103,173,25,101
104,171,57,116
105,181,43,96
106,189,20,92
107,179,27,97
108,176,58,117
109,176,13,109
110,168,28,80
111,173,56,115
112,184,45,104
113,177,48,108
114,173,22,123
115,175,4,110
116,176,50,98
117,185,46,105
118,182,55,107
119,171,44,124
120,173,60,122
121,174,52,119
122,177,38,113
123,179,59,118
124,184,8,106
125,167,2,125
126,178,12,120
127,173,47,121
128,162,11,150
129,170,57,126
130,157,20,169
131,154,35,186
132,160,57,137
133,165,10,138
134,165,7,131
135,157,40,151
136,156,22,173
137,164,26,168
138,172,61,130
139,166,30,135
140,170,13,132
141,167,58,145
142,165,3,136
143,161,16,144
144,165,62,139
145,166,32,142
146,157,17,179
147,153,54,203
148,155,38,176
149,160,29,146
150,142,0,214
151,165,27,134
152,156,48,195
153,156,15,170
154,156,60,194
155,164,23,147
156,162,26,140
157,160,49,178
158,151,30,204
159,156,24,180
160,154,50,196
161,156,29,183
162,164,51,143
163,154,5,177
164,157,51,191
165,154,40,193
166,155,4,200
167,159,40,163
168,152,36,207
169,157,59,172
170,153,64,202
171,162,62,188
172,158,47,199
173,160,53,167
174,164,21,154
175,160,19,192
176,151,21,208
177,151,31,211
178,160,28,182
179,161,39,175
180,160,11,162
181,161,44,181
182,160,54,190
183,161,2,166
184,155,63,201
185,159,55,198
186,156,7,184
187,167,31,149
188,168,50,158
189,159,4,152
190,162,10,161
191,159,13,165
192,152,25,206
193,166,42,153
194,165,41,155
195,162,20,157
196,157,18,174
197,161,6,164
198,167,9,171
199,170,46,156
200,170,8,133
201,170,1,148
202,165,34,160
203,156,25,187
204,165,33,141
205,164,44,159
206,153,7,205
207,159,51,189
208,151,36,209
209,159,19,185
210,150,32,210
211,154,45,197
212,146,14,212
213,146,6,213
214,166,42,129

