vertex id,originalDegree,degreeDelete,average,
0,73,0,78
1,72,0,78
2,72,0,78
3,75,0,78
4,74,0,78
5,79,0,78
6,81,0,78
7,82,0,78
8,74,0,78
9,81,0,78
10,85,0,78
11,79,0,78
12,85,0,78
13,84,0,78
14,82,0,78
15,85,0,78
16,87,0,78
17,84,0,78
18,83,0,78
19,82,0,78
20,82,0,78
21,85,0,78
22,87,0,78
23,82,0,78
24,87,0,78
25,86,0,78
26,88,0,78
27,87,0,78
28,85,0,78
29,86,0,78
30,86,0,78
31,86,0,78
32,87,0,78
33,88,0,78
34,89,0,78
35,85,0,78
36,89,0,78
37,88,0,78
38,88,0,78
39,88,0,78
40,88,0,78
41,88,0,78
42,87,0,78
43,89,0,78
44,89,0,78
45,89,0,78
46,88,0,78
47,86,0,78
48,88,0,78
49,88,0,78
50,88,0,78
51,88,0,78
52,88,0,78
53,87,0,78
54,88,0,78
55,88,0,78
56,89,0,78
57,89,0,78
58,88,0,78
0,0,0,78
60,88,0,78
61,88,0,78
62,84,0,78
63,87,0,78
64,86,0,78
65,82,0,78
66,84,0,78
67,80,0,78
68,81,0,78
69,82,0,78
70,79,0,78
71,76,0,78
72,77,0,78
73,76,0,78
74,77,0,78
75,71,0,78
76,71,0,78
77,67,0,78
78,67,0,78
79,69,0,78
80,68,0,78
81,64,0,78
82,66,0,78
83,57,0,78
84,56,0,78
85,55,0,78
86,50,0,78
87,43,0,78
88,23,0,78
89,46,0,78

