vertex id,originalDegree,degreeDelete,average,terminalClique
0,2,2,2,416
1,2,1,2,416
2,2,2,2,416
3,2,1,2,416
4,2,2,2,416
5,2,1,2,416
6,2,2,2,416
7,2,1,2,416
8,2,2,2,416
9,2,1,2,416
10,2,2,2,416
11,2,1,2,416
12,2,2,2,416
13,2,1,2,416
14,2,2,2,416
15,2,1,2,416
16,2,2,2,416
17,2,1,2,416
18,2,2,2,416
19,2,1,2,416
20,2,2,2,416
21,2,1,2,416
22,2,2,2,416
23,2,1,2,416
24,2,2,2,416
25,2,1,2,416
26,2,2,2,416
27,2,1,2,416
28,2,2,2,416
29,2,1,2,416
30,2,2,2,416
31,2,1,2,416
32,2,2,2,416
33,2,1,2,416
34,2,2,2,416
35,2,1,2,416
36,2,2,2,416
37,2,1,2,416
38,2,2,2,416
39,2,1,2,416
40,2,2,2,416
41,2,1,2,416
42,2,2,2,416
43,2,1,2,416
44,2,2,2,416
45,2,1,2,416
46,2,2,2,416
47,2,1,2,416
48,2,2,2,416
49,2,1,2,416
50,2,2,2,416
51,2,1,2,416
52,2,2,2,416
53,2,1,2,416
54,2,2,2,416
55,2,1,2,416
56,2,2,2,416
57,2,1,2,416
58,2,2,2,416
59,2,1,2,416
60,2,2,2,416
61,2,1,2,416
62,2,2,2,416
63,2,1,2,416
64,2,2,2,416
65,2,1,2,416
66,2,2,2,416
67,2,1,2,416
68,2,2,2,416
69,2,1,2,416
70,2,2,2,416
71,2,1,2,416
72,2,2,2,416
73,2,1,2,416
74,2,2,2,416
75,2,1,2,416
76,2,2,2,416
77,2,1,2,416
78,2,2,2,416
79,2,1,2,416
80,2,2,2,416
81,2,1,2,416
82,2,2,2,416
83,2,1,2,416
84,2,2,2,416
85,2,1,2,416
86,2,2,2,416
87,2,1,2,416
88,2,2,2,416
89,2,1,2,416
90,2,2,2,416
91,2,1,2,416
92,2,2,2,416
93,2,1,2,416
94,2,2,2,416
95,2,1,2,416
96,2,2,2,416
97,2,1,2,416
98,2,2,2,416
99,2,1,2,416
100,2,2,2,416
101,2,1,2,416
102,2,2,2,416
103,2,1,2,416
104,2,2,2,416
105,2,1,2,416
106,2,2,2,416
107,2,1,2,416
108,2,2,2,416
109,2,1,2,416
110,2,2,2,416
111,2,1,2,416
112,2,2,2,416
113,2,1,2,416
114,2,2,2,416
115,2,1,2,416
116,2,2,2,416
117,2,1,2,416
118,2,2,2,416
119,2,1,2,416
120,2,2,2,416
121,2,1,2,416
122,2,2,2,416
123,2,1,2,416
124,2,2,2,416
125,2,1,2,416
126,2,2,2,416
127,2,1,2,416
128,2,2,2,416
129,2,1,2,416
130,2,2,2,416
131,2,1,2,416
132,2,2,2,416
133,2,1,2,416
134,2,2,2,416
135,2,1,2,416
136,2,2,2,416
137,2,1,2,416
138,2,2,2,416
139,2,1,2,416
140,2,2,2,416
141,2,1,2,416
142,2,2,2,416
143,2,1,2,416
144,2,2,2,416
145,2,1,2,416
146,2,2,2,416
147,2,1,2,416
148,2,2,2,416
149,2,1,2,416
150,2,2,2,416
151,2,1,2,416
152,2,2,2,416
153,2,1,2,416
154,2,2,2,416
155,2,1,2,416
156,2,2,2,416
157,2,1,2,416
158,2,2,2,416
159,2,1,2,416
160,2,2,2,416
161,2,1,2,416
162,2,2,2,416
163,2,1,2,416
164,2,2,2,416
165,2,1,2,416
166,2,2,2,416
167,2,1,2,416
168,2,2,2,416
169,2,1,2,416
170,2,2,2,416
171,2,1,2,416
172,2,2,2,416
173,2,1,2,416
174,2,2,2,416
175,2,1,2,416
176,2,2,2,416
177,2,1,2,416
178,2,2,2,416
179,2,1,2,416
180,2,2,2,416
181,2,1,2,416
182,2,2,2,416
183,2,1,2,416
184,2,2,2,416
185,2,1,2,416
186,2,2,2,416
187,2,1,2,416
188,2,2,2,416
189,2,1,2,416
190,2,2,2,416
191,2,1,2,416
192,2,2,2,416
193,2,1,2,416
194,2,2,2,416
195,2,1,2,416
196,2,2,2,416
197,2,1,2,416
198,2,2,2,416
199,2,1,2,416
200,2,2,2,416
201,2,1,2,416
202,2,2,2,416
203,2,1,2,416
204,2,2,2,416
205,2,1,2,416
206,2,2,2,416
207,2,1,2,416
208,2,2,2,416
209,2,1,2,416
210,2,2,2,416
211,2,1,2,416
212,2,2,2,416
213,2,1,2,416
214,2,2,2,416
215,2,1,2,416
216,2,2,2,416
217,2,1,2,416
218,2,2,2,416
219,2,1,2,416
220,2,2,2,416
221,2,1,2,416
222,2,2,2,416
223,2,1,2,416
224,2,2,2,416
225,2,1,2,416
226,2,2,2,416
227,2,1,2,416
228,2,2,2,416
229,2,1,2,416
230,2,2,2,416
231,2,1,2,416
232,2,2,2,416
233,2,1,2,416
234,2,2,2,416
235,2,1,2,416
236,2,2,2,416
237,2,1,2,416
238,2,2,2,416
239,2,1,2,416
240,2,2,2,416
241,2,1,2,416
242,2,2,2,416
243,2,1,2,416
244,2,2,2,416
245,2,1,2,416
246,2,2,2,416
247,2,1,2,416
248,2,2,2,416
249,2,1,2,416
250,2,2,2,416
251,2,1,2,416
252,2,2,2,416
253,2,1,2,416
254,2,2,2,416
255,2,1,2,416
256,2,2,2,416
257,2,1,2,416
258,2,2,2,416
259,2,1,2,416
260,2,2,2,416
261,2,1,2,416
262,2,2,2,416
263,2,1,2,416
264,2,2,2,416
265,2,1,2,416
266,2,2,2,416
267,2,1,2,416
268,2,2,2,416
269,2,1,2,416
270,2,2,2,416
271,2,1,2,416
272,2,2,2,416
273,2,1,2,416
274,2,2,2,416
275,2,1,2,416
276,2,2,2,416
277,2,1,2,416
278,2,1,2,416
279,2,1,2,416
280,2,1,2,416
281,2,1,2,416
282,2,1,2,416
283,2,1,2,416
284,2,1,2,416
285,2,1,2,416
286,2,1,2,416
287,2,1,2,416
288,2,1,2,416
289,2,1,2,416
290,2,1,2,416
291,2,1,2,416
292,2,1,2,416
293,2,1,2,416
294,2,1,2,416
295,2,1,2,416
296,2,1,2,416
297,2,1,2,416
298,2,1,2,416
299,2,1,2,416
300,2,1,2,416
301,2,1,2,416
302,2,1,2,416
303,2,1,2,416
304,2,1,2,416
305,2,1,2,416
306,2,1,2,416
307,2,1,2,416
308,2,1,2,416
309,2,1,2,416
310,2,1,2,416
311,2,1,2,416
312,2,1,2,416
313,2,1,2,416
314,2,1,2,416
315,2,1,2,416
316,2,1,2,416
317,2,1,2,416
318,2,1,2,416
319,2,1,2,416
320,2,1,2,416
321,2,1,2,416
322,2,1,2,416
323,2,1,2,416
324,2,1,2,416
325,2,1,2,416
326,2,1,2,416
327,2,1,2,416
328,2,1,2,416
329,2,1,2,416
330,2,1,2,416
331,2,1,2,416
332,2,1,2,416
333,2,1,2,416
334,2,1,2,416
335,2,1,2,416
336,2,1,2,416
337,2,1,2,416
338,2,1,2,416
339,2,1,2,416
340,2,1,2,416
341,2,1,2,416
342,2,1,2,416
343,2,1,2,416
344,2,1,2,416
345,2,1,2,416
346,2,1,2,416
347,2,1,2,416
348,2,1,2,416
349,2,1,2,416
350,2,1,2,416
351,2,1,2,416
352,2,1,2,416
353,2,1,2,416
354,2,1,2,416
355,2,1,2,416
356,2,1,2,416
357,2,1,2,416
358,2,1,2,416
359,2,1,2,416
360,2,1,2,416
361,2,1,2,416
362,2,1,2,416
363,2,1,2,416
364,2,1,2,416
365,2,1,2,416
366,2,1,2,416
367,2,1,2,416
368,2,1,2,416
369,2,1,2,416
370,2,1,2,416
371,2,1,2,416
372,2,1,2,416
373,2,1,2,416
374,2,1,2,416
375,2,1,2,416
376,2,1,2,416
377,2,1,2,416
378,2,1,2,416
379,2,1,2,416
380,2,1,2,416
381,2,1,2,416
382,2,1,2,416
383,2,1,2,416
384,2,1,2,416
385,2,1,2,416
386,2,1,2,416
387,2,1,2,416
388,2,1,2,416
389,2,1,2,416
390,2,1,2,416
391,2,1,2,416
392,2,1,2,416
393,2,1,2,416
394,2,1,2,416
395,2,1,2,416
396,2,1,2,416
397,2,1,2,416
398,2,1,2,416
399,2,1,2,416
400,2,1,2,416
401,2,1,2,416
402,2,1,2,416
403,2,1,2,416
404,2,1,2,416
405,2,1,2,416
406,2,1,2,416
407,2,1,2,416
408,2,1,2,416
409,2,1,2,416
410,2,1,2,416
411,2,1,2,416
412,2,1,2,416
413,2,1,2,416
414,2,1,2,416
415,2,1,2,416

