vertex id,originalDegree,degreeDelete,average,terminalClique
0,2,2,2,283
1,2,1,2,283
2,2,2,2,283
3,2,1,2,283
4,2,2,2,283
5,2,1,2,283
6,2,2,2,283
7,2,1,2,283
8,2,2,2,283
9,2,1,2,283
10,2,2,2,283
11,2,1,2,283
12,2,2,2,283
13,2,1,2,283
14,2,2,2,283
15,2,1,2,283
16,2,2,2,283
17,2,1,2,283
18,2,2,2,283
19,2,1,2,283
20,2,2,2,283
21,2,1,2,283
22,2,2,2,283
23,2,1,2,283
24,2,2,2,283
25,2,1,2,283
26,2,2,2,283
27,2,1,2,283
28,2,2,2,283
29,2,1,2,283
30,2,2,2,283
31,2,1,2,283
32,2,2,2,283
33,2,1,2,283
34,2,2,2,283
35,2,1,2,283
36,2,2,2,283
37,2,1,2,283
38,2,2,2,283
39,2,1,2,283
40,2,2,2,283
41,2,1,2,283
42,2,2,2,283
43,2,1,2,283
44,2,2,2,283
45,2,1,2,283
46,2,2,2,283
47,2,1,2,283
48,2,2,2,283
49,2,1,2,283
50,2,2,2,283
51,2,1,2,283
52,2,2,2,283
53,2,1,2,283
54,2,2,2,283
55,2,1,2,283
56,2,2,2,283
57,2,1,2,283
58,2,2,2,283
59,2,1,2,283
60,2,2,2,283
61,2,1,2,283
62,2,2,2,283
63,2,1,2,283
64,2,2,2,283
65,2,1,2,283
66,2,2,2,283
67,2,1,2,283
68,2,2,2,283
69,2,1,2,283
70,2,2,2,283
71,2,1,2,283
72,2,2,2,283
73,2,1,2,283
74,2,2,2,283
75,2,1,2,283
76,2,2,2,283
77,2,1,2,283
78,2,2,2,283
79,2,1,2,283
80,2,2,2,283
81,2,1,2,283
82,2,2,2,283
83,2,1,2,283
84,2,2,2,283
85,2,1,2,283
86,2,2,2,283
87,2,1,2,283
88,2,2,2,283
89,2,1,2,283
90,2,2,2,283
91,2,1,2,283
92,2,2,2,283
93,2,1,2,283
94,2,2,2,283
95,2,1,2,283
96,2,2,2,283
97,2,1,2,283
98,2,2,2,283
99,2,1,2,283
100,2,2,2,283
101,2,1,2,283
102,2,2,2,283
103,2,1,2,283
104,2,2,2,283
105,2,1,2,283
106,2,2,2,283
107,2,1,2,283
108,2,2,2,283
109,2,1,2,283
110,2,2,2,283
111,2,1,2,283
112,2,2,2,283
113,2,1,2,283
114,2,2,2,283
115,2,1,2,283
116,2,2,2,283
117,2,1,2,283
118,2,2,2,283
119,2,1,2,283
120,2,2,2,283
121,2,1,2,283
122,2,2,2,283
123,2,1,2,283
124,2,2,2,283
125,2,1,2,283
126,2,2,2,283
127,2,1,2,283
128,2,2,2,283
129,2,1,2,283
130,2,2,2,283
131,2,1,2,283
132,2,2,2,283
133,2,1,2,283
134,2,2,2,283
135,2,1,2,283
136,2,2,2,283
137,2,1,2,283
138,2,2,2,283
139,2,1,2,283
140,2,2,2,283
141,2,1,2,283
142,2,2,2,283
143,2,1,2,283
144,2,2,2,283
145,2,1,2,283
146,2,2,2,283
147,2,1,2,283
148,2,2,2,283
149,2,1,2,283
150,2,2,2,283
151,2,1,2,283
152,2,2,2,283
153,2,1,2,283
154,2,2,2,283
155,2,1,2,283
156,2,2,2,283
157,2,1,2,283
158,2,2,2,283
159,2,1,2,283
160,2,2,2,283
161,2,1,2,283
162,2,2,2,283
163,2,1,2,283
164,2,2,2,283
165,2,1,2,283
166,2,2,2,283
167,2,1,2,283
168,2,2,2,283
169,2,1,2,283
170,2,2,2,283
171,2,1,2,283
172,2,2,2,283
173,2,1,2,283
174,2,2,2,283
175,2,1,2,283
176,2,2,2,283
177,2,1,2,283
178,2,2,2,283
179,2,1,2,283
180,2,2,2,283
181,2,1,2,283
182,2,2,2,283
183,2,1,2,283
184,2,2,2,283
185,2,1,2,283
186,2,2,2,283
187,2,1,2,283
188,2,1,2,283
189,2,1,2,283
190,2,1,2,283
191,2,1,2,283
192,2,1,2,283
193,2,1,2,283
194,2,1,2,283
195,2,1,2,283
196,2,1,2,283
197,2,1,2,283
198,2,1,2,283
199,2,1,2,283
200,2,1,2,283
201,2,1,2,283
202,2,1,2,283
203,2,1,2,283
204,2,1,2,283
205,2,1,2,283
206,2,1,2,283
207,2,1,2,283
208,2,1,2,283
209,2,1,2,283
210,2,1,2,283
211,2,1,2,283
212,2,1,2,283
213,2,1,2,283
214,2,1,2,283
215,2,1,2,283
216,2,1,2,283
217,2,1,2,283
218,2,1,2,283
219,2,1,2,283
220,2,1,2,283
221,2,1,2,283
222,2,1,2,283
223,2,1,2,283
224,2,1,2,283
225,2,1,2,283
226,2,1,2,283
227,2,1,2,283
228,2,1,2,283
229,2,1,2,283
230,2,1,2,283
231,2,1,2,283
232,2,1,2,283
233,2,1,2,283
234,2,1,2,283
235,2,1,2,283
236,2,1,2,283
237,2,1,2,283
238,2,1,2,283
239,2,1,2,283
240,2,1,2,283
241,2,1,2,283
242,2,1,2,283
