vertex id,originalDegree,degreeDelete,average,terminalClique
317,259,226,287,1
318,275,208,287,1
319,257,211,287,1
320,246,245,287,1
321,254,238,287,1
322,266,208,287,1
323,263,210,287,1
324,268,219,287,1
325,265,226,287,1
326,276,203,287,1
327,267,214,287,1
328,267,210,287,1
329,252,242,287,1
330,258,234,287,1
331,257,232,287,1
332,250,246,287,1
333,268,205,287,1
334,266,209,287,1
335,252,243,287,1
336,260,226,287,1
337,260,219,287,1
338,265,214,287,1
339,278,202,287,1
340,267,219,287,1
341,271,202,287,1
342,263,219,287,1
343,252,238,287,1
344,253,242,287,1
345,235,235,287,1
346,272,202,287,1

