vertex id,originalDegree,color,orderColored
0,384,354,30
1,382,314,68
2,384,355,29
3,382,315,67
4,383,334,49
5,383,335,48
6,383,336,47
7,384,356,28
8,385,372,13
9,384,357,27
10,385,373,12
11,383,337,46
12,382,316,66
13,385,374,11
14,384,358,26
15,382,317,65
16,384,359,25
17,384,360,24
18,387,383,4
19,383,338,45
20,382,318,64
21,381,290,91
22,379,245,134
23,381,291,90
24,383,339,44
25,382,319,63
26,385,375,10
27,382,320,62
28,384,361,23
29,381,292,89
30,383,340,43
31,383,341,42
32,384,362,22
33,386,381,5
34,382,321,61
35,387,384,3
36,387,385,2
37,384,363,21
38,382,322,60
39,380,267,113
40,383,342,41
41,379,246,133
42,379,247,132
43,379,248,131
44,385,376,9
45,383,343,40
46,380,268,112
47,384,364,20
48,383,344,39
49,380,269,111
50,376,208,168
51,382,323,59
52,384,365,19
53,381,293,88
54,377,221,156
55,381,294,87
56,380,270,110
57,381,295,86
58,383,345,38
59,383,346,37
60,382,324,58
61,385,377,8
62,389,389,0
63,388,387,1
64,381,296,85
65,384,366,18
66,381,297,84
67,380,271,109
68,380,272,108
69,381,298,83
70,384,367,17
71,381,299,82
72,379,249,130
73,381,300,81
74,381,301,80
75,383,347,36
76,381,302,79
77,384,368,16
78,384,369,15
79,384,370,14
80,383,348,35
81,380,273,107
82,382,325,57
83,382,326,56
84,383,349,34
85,383,350,33
86,381,303,78
87,379,250,129
88,380,274,106
89,382,327,55
90,377,222,155
91,375,190,185
92,377,223,154
93,381,304,77
94,378,237,141
95,378,238,140
96,381,305,76
97,381,306,75
98,376,209,167
99,379,251,128
100,380,275,105
101,379,252,127
102,381,307,74
103,380,276,104
104,381,308,73
105,385,378,7
106,382,328,54
107,377,224,153
108,374,172,202
109,380,277,103
110,379,253,126
111,379,254,125
112,381,309,72
113,385,379,6
114,382,329,53
115,383,351,32
116,380,278,102
117,380,279,101
118,379,255,124
119,377,225,152
120,380,280,100
121,378,239,139
122,376,210,166
123,381,310,71
124,378,240,138
125,378,241,137
126,375,191,184
127,380,281,99
128,376,211,165
129,375,192,183
130,380,282,98
131,382,330,52
132,377,226,151
133,377,227,150
134,380,283,97
135,380,284,96
136,381,311,70
137,380,285,95
138,381,312,69
139,380,286,94
140,379,256,123
141,383,352,31
142,377,228,149
143,378,242,136
144,375,193,182
145,379,257,122
146,374,173,201
147,375,194,181
148,376,212,164
149,375,195,180
150,377,229,148
151,378,243,135
152,379,258,121
153,377,230,147
154,379,259,120
155,380,287,93
156,374,174,200
157,376,213,163
158,374,175,199
159,373,160,213
160,373,161,212
161,373,162,211
162,375,196,179
163,377,231,146
164,374,176,198
165,379,260,119
166,382,331,51
167,379,261,118
168,376,214,162
169,375,197,178
170,375,198,177
171,374,177,197
172,372,147,225
173,377,232,145
174,382,332,50
175,375,199,176
176,375,200,175
177,376,215,161
178,371,135,236
179,373,163,210
180,374,178,196
181,376,216,160
182,373,164,209
183,374,179,195
184,372,148,224
185,379,262,117
186,379,263,116
187,380,288,92
188,379,264,115
189,375,201,174
190,373,165,208
191,379,265,114
192,374,180,194
193,374,181,193
194,374,182,192
195,372,149,223
196,377,233,144
197,377,234,143
198,374,183,191
199,371,136,235
200,371,137,234
201,374,184,190
202,370,125,245
203,372,150,222
204,373,166,207
205,375,202,173
206,374,185,189
207,374,186,188
208,375,203,172
209,371,138,233
210,370,126,244
211,372,151,221
212,373,167,206
213,371,139,232
214,376,217,159
215,370,127,243
216,369,116,253
217,375,204,171
218,375,205,170
219,374,187,187
220,370,128,242
221,373,168,205
222,371,140,231
223,373,169,204
224,371,141,230
225,377,235,142
226,372,152,220
227,369,117,252
228,366,95,271
229,367,99,268
230,368,108,260
231,369,118,251
232,372,153,219
233,372,154,218
234,376,218,158
235,375,206,169
236,372,155,217
237,372,156,216
238,368,109,259
239,367,100,267
240,367,101,266
241,367,102,265
242,370,129,241
243,372,157,215
244,367,103,264
245,365,91,274
246,368,110,258
247,370,130,240
248,369,119,250
249,371,142,229
250,368,111,257
251,363,79,284
252,364,82,282
253,370,131,239
254,374,188,186
255,376,219,157
256,371,143,228
257,369,120,249
258,371,144,227
259,364,83,281
260,371,145,226
261,367,104,263
262,362,67,295
263,370,132,238
264,368,112,256
265,368,113,255
266,369,122,248
267,368,114,254
268,367,105,262
269,364,84,280
270,369,122,247
271,366,96,270
272,365,92,273
273,365,93,272
274,367,107,261
275,362,68,294
276,366,97,269
277,373,170,203
278,372,158,214
279,364,85,279
280,361,61,300
281,364,86,278
282,364,87,277
283,363,80,283
284,362,69,293
285,359,51,309
286,361,63,299
287,360,58,302
288,359,53,308
289,370,133,237
290,369,123,246
291,362,70,292
292,362,71,291
293,364,88,276
