NUM VERTICES,SMLVO, SMODL, welshpowell,largestoriginaldegreelast, largestlast, uniformrandom
3,0,0,0,0,0,0
4,9.375e-06,3.667e-06,7.208e-06,3.958e-06,1.1625e-05,3.416e-06
5,8.542e-06,4.791e-06,8.5e-06,4.75e-06,9.625e-06,4.958e-06
6,9e-06,5.959e-06,1.0667e-05,5.75e-06,9.834e-06,5.416e-06
7,1.0208e-05,7.041e-06,1.3625e-05,6.458e-06,1.0958e-05,5.916e-06
