NUM VERTICES,SMLVO, SMODL, welshpowell,largestoriginaldegreelast, largestlast, uniformrandom
3,0,0,0,0,0,0
4,6.584e-06,4.75e-06,6.667e-06,1.5459e-05,9.75e-06,3.333e-06
5,8.625e-06,4.833e-06,8.291e-06,5.166e-06,9.917e-06,3.625e-06
6,1.3458e-05,7.75e-06,1.2417e-05,7.709e-06,1.525e-05,6.416e-06
7,1.7167e-05,9.5e-06,1.7166e-05,9.5e-06,1.9916e-05,8.292e-06
