NUM VERTICES,SMLVO, SMODL, welshpowell,largestoriginaldegreelast, largestlast, uniformrandom
82,0.0049665,0.00257583,0.00366229,0.00239525,0.00432717,0.00238629
83,0.00485846,0.00273292,0.00450658,0.00248933,0.00447054,0.00259833
84,0.00506625,0.00274975,0.00433512,0.00267833,0.00464196,0.00255592
85,0.00523187,0.002743,0.00416392,0.00271654,0.00481462,0.00265392
86,0.005501,0.00294683,0.00414108,0.00292292,0.00498917,0.00272908
87,0.00590125,0.00302346,0.00421267,0.00296462,0.0051595,0.002829
88,0.00573292,0.00307575,0.00424863,0.00295958,0.00550554,0.00292583
89,0.00595812,0.00312,0.00431017,0.00317933,0.00557062,0.00307037
90,0.0081995,0.00315983,0.00456512,0.00320096,0.00588558,0.00310288
91,0.00649313,0.00328242,0.00483117,0.00323487,0.00585042,0.00314783
92,0.00649746,0.0032975,0.00479871,0.00333638,0.00598958,0.00325071
93,0.00681417,0.00344817,0.00478254,0.00351508,0.00611233,0.00346208
94,0.00687958,0.00352937,0.00500542,0.00363442,0.00633404,0.00353125
95,0.00699133,0.00369962,0.00502775,0.00357996,0.00640833,0.00353792
96,0.00722371,0.00365442,0.00511579,0.00369733,0.00665438,0.00377846
97,0.00745188,0.00372838,0.00534846,0.00375917,0.00675238,0.00374367
98,0.00795567,0.00381825,0.00533596,0.00384058,0.00688129,0.00382179
99,0.00794283,0.00410738,0.00553696,0.00389946,0.00719896,0.00384012
100,0.00859008,0.00416479,0.00577821,0.00399075,0.0072365,0.003904
101,0.00813479,0.00438838,0.00575821,0.00411608,0.00750392,0.00407025
102,0.00828663,0.00434125,0.00595058,0.00430554,0.00772888,0.00416708
103,0.009538,0.00456146,0.00601971,0.00430075,0.00787,0.00432521
104,0.00851017,0.00456117,0.00614029,0.00442208,0.00804592,0.00447396
105,0.0101332,0.00461063,0.00624621,0.00453171,0.00832067,0.00457887
106,0.010889,0.00480279,0.00640104,0.00462733,0.00847571,0.00459587
107,0.00990317,0.0048195,0.00667504,0.00479042,0.00892225,0.00467663
108,0.0129147,0.00498921,0.00675879,0.00486875,0.00889217,0.00478796
109,0.0105545,0.005116,0.00700396,0.00495683,0.00953967,0.00492033
110,0.0154141,0.00529375,0.00705233,0.00513179,0.00998229,0.00501829
111,0.0110334,0.005333,0.00719013,0.00535058,0.00961021,0.00511954
112,0.013497,0.00542121,0.00745517,0.00531696,0.00981117,0.00522283
113,0.011424,0.00549967,0.00757342,0.00538087,0.0100148,0.00533071
114,0.0281875,0.00565396,0.00788233,0.00558421,0.0103191,0.00550517
115,0.0118528,0.00590962,0.00791246,0.00571471,0.010776,0.00563917
116,0.0131911,0.00600908,0.00806108,0.0058525,0.0110189,0.00578346
117,0.0126053,0.00619058,0.00827317,0.00597233,0.0112178,0.00602779
118,0.0128885,0.00628321,0.0084795,0.00612658,0.0114729,0.00630229
119,0.0130019,0.0065695,0.00868137,0.00635788,0.0117353,0.00640267
120,0.0131742,0.00656904,0.00888242,0.00644354,0.0120551,0.00637863
121,0.0146799,0.00672117,0.00907271,0.00658625,0.012411,0.006572
122,0.014099,0.006871,0.00939296,0.00667596,0.0125572,0.00665692
123,0.0148932,0.00707379,0.00956333,0.00687421,0.0127909,0.00687496
124,0.0151999,0.00716208,0.00974467,0.00705646,0.0130997,0.00693579
125,0.0157554,0.00742821,0.00987654,0.00721262,0.0135661,0.00714938
126,0.0155137,0.00749108,0.0101358,0.00746546,0.0141117,0.00742646
127,0.0154248,0.00782313,0.0103075,0.00770412,0.014126,0.00762992
128,0.0168531,0.00779546,0.0105214,0.00774971,0.014322,0.00786929
129,0.0165176,0.00803704,0.0107003,0.00785433,0.0146013,0.00780358
130,0.0176018,0.00849038,0.0113364,0.00840658,0.0160293,0.00832442
131,0.0196209,0.00885075,0.0117005,0.00873771,0.0167222,0.00871696
132,0.020515,0.00917642,0.0120378,0.00902075,0.0171968,0.00902192
133,0.0208965,0.00953371,0.0122561,0.00924683,0.0176962,0.00918712
134,0.0312028,0.00975612,0.0127868,0.00954537,0.018314,0.00951221
135,0.0218895,0.00987317,0.0127275,0.00971033,0.0186283,0.00989671
136,0.0221688,0.0101698,0.0129988,0.010535,0.0191334,0.0103414
137,0.0215785,0.0102804,0.0133382,0.0101279,0.019493,0.0100561
138,0.0217273,0.0104997,0.0135227,0.0103434,0.0200605,0.0102682
139,0.0223077,0.0107344,0.0138255,0.0105905,0.0204501,0.0105364
140,0.0235876,0.0110189,0.0140354,0.0108388,0.0207713,0.0107177
141,0.024115,0.0111232,0.0142158,0.0111048,0.021353,0.0108812
142,0.023902,0.011315,0.0145627,0.0113674,0.0218713,0.0112452
143,0.0246584,0.0116454,0.0148188,0.0114373,0.0219927,0.0116119
144,0.0253779,0.0117922,0.01514,0.0116282,0.0227513,0.0119184
145,0.0253889,0.0120031,0.0152605,0.0120047,0.0230813,0.0118075
146,0.0263267,0.0122414,0.0154934,0.0121225,0.0232744,0.0119331
147,0.0261597,0.0125354,0.0157658,0.0124557,0.0238473,0.0122027
148,0.0255057,0.0125874,0.0161132,0.012649,0.0240941,0.0123488
149,0.025822,0.0128186,0.0163834,0.0127165,0.0244916,0.0125974
150,0.0263824,0.0130926,0.0166802,0.0128252,0.025217,0.012744
151,0.0271969,0.0133464,0.0167656,0.0130406,0.0253632,0.0128879
152,0.0272308,0.0138298,0.0170159,0.0132583,0.0257898,0.0130826
153,0.0501105,0.0136213,0.017338,0.0134828,0.0263434,0.0134689
154,0.0270856,0.0140631,0.017549,0.0137667,0.0266969,0.0135996
155,0.02956,0.0141812,0.0177792,0.0138526,0.0271354,0.0137803
156,0.0278692,0.01436,0.0180388,0.0140983,0.0276408,0.014011
157,0.0280458,0.0145577,0.0182656,0.0144265,0.0282965,0.0142703
158,0.0285935,0.0147862,0.0186782,0.014574,0.0284558,0.01448
159,0.0290811,0.0150158,0.018957,0.014956,0.0288811,0.0147112
160,0.0296345,0.0152136,0.0191537,0.015035,0.0294675,0.014916
161,0.0298246,0.0156114,0.0194756,0.0151908,0.0298273,0.0151831
162,0.0302463,0.0157991,0.0197676,0.0155932,0.0304011,0.0153903
163,0.0307764,0.0159807,0.0200316,0.0158422,0.0306626,0.0157218
164,0.0315825,0.0162288,0.0203361,0.0163672,0.0316654,0.0158845
165,0.0321458,0.0168955,0.0209012,0.0163475,0.0320464,0.0162053
166,0.0326485,0.0168997,0.0210976,0.0167482,0.0325908,0.0164464
167,0.033042,0.0170358,0.0214135,0.0169221,0.03316,0.0168371
168,0.0340166,0.0173134,0.0216486,0.0171275,0.0337832,0.0170487
169,0.0342267,0.0176669,0.021896,0.0173267,0.0338893,0.0173407
170,0.0350264,0.017877,0.0222126,0.0179381,0.0349187,0.0174784
171,0.0351472,0.0180944,0.022536,0.0179386,0.0350913,0.017944
172,0.0361198,0.0184111,0.0228588,0.0181926,0.0360804,0.0181805
173,0.0365807,0.0188782,0.0231948,0.0184277,0.0360593,0.0183157
174,0.0369231,0.0190055,0.0235064,0.0186949,0.0373263,0.0185986
175,0.0373618,0.0192169,0.0239284,0.0188987,0.0372205,0.018851
176,0.038386,0.019545,0.0242104,0.0193123,0.0380134,0.0191434
177,0.0387103,0.0199785,0.0245472,0.019661,0.0385318,0.0195669
178,0.0392797,0.0200714,0.0248093,0.019768,0.0389937,0.0198343
179,0.0392252,0.0203302,0.025063,0.0201092,0.0393766,0.02014
180,0.0404348,0.0205887,0.0253526,0.0205223,0.0406594,0.020431
181,0.0409993,0.021089,0.0259371,0.020797,0.040702,0.020801
182,0.0418559,0.021386,0.0261619,0.0210895,0.0414482,0.0212538
183,0.0419398,0.0216212,0.0264699,0.0214046,0.042501,0.0215838
184,0.0428975,0.0220667,0.027047,0.0216462,0.0426176,0.0218566
185,0.0434088,0.0222892,0.0272347,0.0222869,0.0440711,0.0225487
186,0.0440885,0.0225876,0.0276022,0.0223333,0.0440659,0.022374
187,0.0445435,0.0230758,0.0281412,0.0227229,0.0443625,0.0226206
188,0.0457282,0.0233126,0.028461,0.0231464,0.0453471,0.0233292
189,0.0455144,0.023527,0.028642,0.0232827,0.0454136,0.0232882
190,0.0464637,0.0239587,0.029101,0.0236923,0.0475143,0.0235615
191,0.0473944,0.0242302,0.0295042,0.0242293,0.0468945,0.0242255
192,0.0478752,0.0245158,0.0300123,0.0242547,0.0487064,0.0243695
193,0.0483392,0.0250069,0.0302742,0.0245923,0.0483314,0.0245291
194,0.0509187,0.0252158,0.0307181,0.0267189,0.0489345,0.0251107
195,0.0503632,0.0256774,0.0311599,0.025538,0.0498431,0.0254439
196,0.0514709,0.0263435,0.0319258,0.0259172,0.0508475,0.0259844
197,0.0525075,0.0265815,0.0322213,0.0262336,0.0517275,0.0261698
198,0.052166,0.026824,0.0327356,0.0265493,0.0519688,0.0263921
199,0.0534705,0.027387,0.0332391,0.0270368,0.0529642,0.026845
200,0.0542486,0.0278779,0.0337017,0.0274656,0.0535436,0.0280114
201,0.0545942,0.028154,0.0341554,0.0278865,0.0548424,0.0277452
202,0.0578432,0.0285976,0.0347002,0.0282253,0.0551058,0.0280896
203,0.0571573,0.0289634,0.0350901,0.0286511,0.0561144,0.028526
204,0.0571291,0.029338,0.0354587,0.028944,0.0570129,0.0290163
205,0.061281,0.029781,0.0360721,0.0294455,0.0572725,0.0293359
206,0.058133,0.0300771,0.0364491,0.0297082,0.0579987,0.0296942
207,0.0605968,0.03054,0.0371436,0.0305096,0.059439,0.0301013
208,0.0606136,0.0309119,0.0375598,0.0305796,0.0601159,0.0304577
209,0.0610184,0.0312638,0.0383019,0.0310935,0.0614615,0.0308589
210,0.0638658,0.031749,0.0385381,0.0315677,0.0615562,0.0312903
211,0.0628667,0.032322,0.0390847,0.031843,0.0626513,0.0319909
212,0.0645478,0.0327314,0.0394061,0.0322594,0.0637373,0.032024
213,0.0643286,0.0328807,0.0399723,0.0327142,0.0645622,0.0325766
214,0.0651489,0.0334891,0.0402814,0.0329154,0.0652286,0.0328325
